Release Date	Time	Actual	Forecast	Previous	
Sep 13, 2012	08:30	8.25%	8.00%	8.00%	
Aug 10, 2012	08:00	8.00%	8.00%	8.00%	
Jul 13, 2012	11:00	8.00%	8.00%	8.00%	
Jun 15, 2012	07:00	8.00%	8.00%	8.00%	
May 10, 2012	02:00	8.00%	8.00%	8.00%	
Apr 09, 2012	02:00	8.00%	8.00%	8.00%	
Mar 13, 2012	03:30	8.00%	8.00%	8.00%	
Feb 03, 2012	07:00	8.00%	8.00%	8.00%	
Dec 23, 2011	07:00	8.00%	8.25%	8.25%	
Nov 25, 2011	07:00	8.25%	8.25%	8.25%	
Oct 28, 2011	03:30	8.25%	8.25%	8.25%	
Sep 14, 2011	02:30	8.25%	8.25%	8.25%	
Aug 04, 2011	02:30	8.25%	8.25%	8.25%	
Jul 04, 2011	00:00	8.25%	8.25%	8.25%	
Jun 30, 2011	00:00	8.25%	 	8.25%	
May 01, 2011 (Apr)	04:00	5.25%	 	5.25%	
Apr 01, 2011 (Mar)	04:00	5.25%	 	5.25%	
Mar 01, 2011 (Feb)	04:00	5.25%	 	5.00%	
Feb 01, 2011 (Jan)	04:00	5.00%	 	5.00%	
Jan 01, 2011 (Dec)	04:00	5.00%	 	5.00%	
Dec 01, 2010 (Nov)	04:00	5.00%	 	5.00%	
Nov 01, 2010 (Oct)	04:00	5.00%	 	5.00%	
Oct 01, 2010 (Sep)	04:00	5.00%	 	5.00%	
Sep 01, 2010 (Aug)	04:00	5.00%	 	5.00%	
Aug 01, 2010 (Jul)	04:00	5.00%	 	5.00%	
Jul 01, 2010 (Jun)	04:00	5.00%	 	5.25%	
Jun 01, 2010 (May)	04:00	5.25%	 	5.25%	
May 01, 2010 (Apr)	04:00	5.25%	 	5.50%	
Apr 01, 2010 (Mar)	04:00	5.50%	 	5.75%	
Mar 01, 2010 (Feb)	04:00	5.75%	 	6.00%	
Feb 01, 2010 (Jan)	04:00	6.00%	 	6.00%	
Jan 01, 2010 (Dec)	04:00	6.00%	 	6.25%	
Dec 01, 2009 (Nov)	04:00	6.25%	 	6.75%	
Nov 01, 2009 (Oct)	04:00	6.75%	 	7.25%	
